Date,Official,Official_Department,Amount,Lobbyist,Lobbyist_Firm,Payee,Description,Salary
03/04/2015,"Montejano, Jess",Board Of Supervisors,$54.02,"Lazarus, Jim",San Francisco Chamber Of Commerce,San Francisco Chamber Of Commerce,ANNUAL CHAMBER OF COMMERCE CITYBEAT BREAKFAST / ANNUAL CHAMBER OF COMMERCE BREAKFAST,No
09/27/2016,"Torres, Joaquin",Housing Authority Commission,$130.69,"Prozan, Rebecca","Google, Inc.",Google Catering And Events,Food and Beverage / Food and Beverage,No
12/31/2014,"Lazarus, Ann",None,$0.00,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Lazarus, James","$1,000.01 - $10,000 COMM. PROPERTY SHARE SALARY TO CHAMBER EMPLOYEE / COMM. PROPERTY SHARE OF SALARY TO CHAMBER EMPLOYEE",Yes
12/29/2016,"Nuru, Mohammed",Public Works Department Of,$100.00,"Flood, Karin",Union Square Bid,La Cocina,HOLIDAY GIFT - TRUE SOURCE BY UNION SQUARE BUSINESS IMPROVEMENT DISTRICT / HOLIDAY GIFT,No
03/31/2016,"Lazarus, Ann",None,$0.00,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Lazarus, James","$1,000.01 - $10,000 COMM. PROPERTY SHARE SALARY TO CHAMBER EMPLOYEE / $1,000.01 - $10,000 COMM. PROPERTY SHARE SALARY TO CHAMBER EMPLOYEE",Yes
01/28/2016,"Dorian, Mark",City Of San Francisco,$48.46,"Prozan, Rebecca","Google, Inc.",Google Catering And Events,Widely Attended Event / Widely Attended Event,No
06/18/2010,"Jack Knowles, Jack",Self Employed,$940.00,"Lesser, Philip",Philip Lesser,City & County Of San Francisco,Permit Fee,No
11/30/2015,"Lazarus, Ann",None,$0.00,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Lazarus, James","$1,000.01 - $10,000 COMM. PROPERTY SHARE SALARY TO CHAMBER EMPLOYEE  /  	$1,000.01 - $10,000 COMM. PROPERTY SHARE SALARY TO CHAMBER EMPLOYEE",No
05/31/2015,"Lazarus, Ann",None,$0.00,"Lazarus, Jim",San Francisco Chamber Of Commerce,"Lazarus, James","$1,000.01 - $10,000 COMM. PROPERTY SHARE SALARY TO CHAMBER EMPLOYEE / COMM. PROPERTY SHARE OF SALARY TO CHAMBER EMPLOYEE",Yes
03/16/2016,"Campos, David",Board Of Supervisors,$55.00,"Lazarus, Jim",San Francisco Chamber Of Commerce,San Francisco Chamber Of Commerce,ANNUAL CHAMBER OF COMMERCE CITYBEAT BREAKFAST HELD 03/16/16 / ANNUAL CHAMBER OF COMMERCE CITYBEAT BREAKFAST HELD 03/16/16,No
