Client,Lobbyist,Lobbyist_Firm,Client_Phone,Client_Address,Client_Address_2,Client_City,Client_State,Client_Zip,Client_Location
Victor Nguyen- Proposed Mcd,"Marquez, Victor M.",The Marquez Law Group,4159900857,563 Dewey Blvd,,San Francisco,CA,94116,
Hbk Engineering,"Lopez, Marisol",Platinum Advisors,3124320076,921 WEST VAN BUREN STREET #100,,CHICAGO,IL,60607,
"Tzk Broaway, Llc","Anderson, Darius",Platinum Advisors,916-443-8891,"1215 K STREET, SUITE 1150",,SACRAMENTO,CA,95814,
Golden State Warriors,"Lopez, Marisol",Platinum Advisors,5109862200,1011 BROADWAY,,OAKLAND,CA,94607,
Tcig,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",4155679000,"1650 Jackson, No. 505",,San Francisco,CA,94109,
Brandon Muller,"Kevlin, John","Reuben, Junius & Rose, Llp",949-456-0297,32681 Caspian Sea Dr.,,Dana Point,CA,92629,
Stricklin/john,"Frattin, Daniel","Reuben, Junius & Rose, Llp",415-355-0900,"601 Van Ness,No. 3606",,San Francisco,CA,94102,
Dufry North America Llc,"Anderson, Darius",Platinum Advisors,201-460-8145,ONE MEADOWLANDS PLAZA,,EAST RUTHERFORD,NJ,07073,
Align Real Estate,"Gruwell, Chris S.",New Deal Advisers,415-770-1153,ONE CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
"Ticd, Llc","Anderson, Darius",Platinum Advisors,415-955-1770,1 SANSOME STREET,,SAN FRANCISCO,CA,94104,
"Audax Management Company, Llc And Its Subsidiary Audax Management Company (Ny), Llc","Connors, Robert","Audax Management Company, Llc And Its Subsidiary Audax Management Company (Ny), Llc",617 859-1500,101 Huntington Avenue,,Boston,MA,02199,
Hines,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
Related California,"Piccini, Jacqueline",Noyola Piccini Group,(415) 677-9000,"44 MONTGOMERY STREET, SUITE 1050",,SAN FRANCISCO,CA,94104,
Millienium Tower Home Owners Assoc.,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
Accenture,"Anderson, Darius",Platinum Advisors,415-537-5000,560 MISSION STREET #1200,,SAN FRANCISCO,CA,94105,
Hos Pacific Llc,"Tunny, Thomas","Reuben, Junius & Rose, Llp",432-683-2771,PO Box 2840,,Midland,TX,79702,
Millienium Tower Home Owners Assoc.,"Clemens, Alexander",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
Jerry O'leary,"Gregg, Andrew",Self,415 637 9400,"1365 Green Street, # 104",,San Francisco,CA,94109,
Hines,"Clemens, Alexander",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
"447 Partners, Llc","Knight, Jody","Reuben, Junius & Rose, Llp",415-567-9000,"Montgomery Realty Group, Inc. & LLC",,San Francisco,CA,94111,
"Soma Residential Development, Llc","Angelis, Chloe","Reuben, Junius & Rose, Llp",760-214-8753,"1160 Battery St., Ste. 250",,San Francisco,CA,94111,
Congregation Emanu-El,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 751-2535,2 LAKE STREET,,SAN FRANCISCO,CA,94118,
Millienium Tower Home Owners Assoc.,"Dorsey, Matt",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
"Cornerstone Concilium, Inc.","Gladstone, Brett",Hanson Bridgett Llp,415-705-7800,"44 Montgomery St., Ste. 3360",,San Francisco,CA,94104,
"Schwab Pomerantz, Carrie","Tourk, Alex",Ground Floor Public Affairs,415-667-1800,211 Main Street,,San Francisco,CA,94105,
Hines,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
"Capstone Investment Advisors, Llc","Forusz, Jamie","Capstone Investment Advisors, Llc",6468399904,250 Greenwich Street,New York,New York,NY,10007,
Keller Grover Properties Llc,"Vettel, Steve",Farella Braun And Martel,415-543-1305,1965 Market Street,,San Francisco,CA,94103,
3516 Folsom St,"Wallace, Jay","Tzk Broadway, Llc",(415) 732-7700,3516 FOLSOM STREET,,SAN FRANCISCO,CA,94110,
Dufry North America Llc,"Lopez, Marisol",Platinum Advisors,2014608145,ONE MEADOWLANDS PLAZA,,EAST RUTHERFORD,NJ,07073,
Aecom,"Lopez, Marisol",Platinum Advisors,4157968100,300 CALIFORNIA STREET #400,,SAN FRANCISCO,CA,94104,
Lohr,"Gruwell, Chris S.",New Deal Advisers,4159551100,29 RUE DU 14 JUILLET,,"67980 HANGENBIETEN, FRANCE",CA,67980,
"American West Parking Services, Inc.","Gladstone, Brett",Hanson Bridgett Llp,415-896-4727,524 Howard St.,,San Francisco,CA,94107,
Chan/henry (Fh Video),"Frattin, Daniel","Reuben, Junius & Rose, Llp",415-221-2822,6137 Geary Blvd.,,San Francisco,CA,94121,
Congregation Emanu-El,"Dorsey, Matt",Lighthouse Public Affairs,(415) 751-2535,2 LAKE STREET,,SAN FRANCISCO,CA,94118,
Hines,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94105,
Accenture,"Lopez, Marisol",Platinum Advisors,4155375000,560 MISSION STREET #1200,,SAN FRANCISCO,CA,94105,
Lyft,"Tourk, Alex",Ground Floor Public Affairs,855-946-7433,185 Berry Street,,San Francisco,CA,94107,
Gaslight Llc,"Knight, Jody","Reuben, Junius & Rose, Llp",415-563-2500,Tusker Corporation,,San Francisco,CA,94123,
Accela,"Lopez, Marisol",Platinum Advisors,9256593200,"2633 CAMINO RAMON, SUITE 500",,SAN RAMON,CA,94583,
Congregation Emanu-El,"Hayward, A. Boe",Lighthouse Public Affairs,(415) 751-2535,2 LAKE STREET,,SAN FRANCISCO,CA,94118,
Paul And Beatrice Gomory,"Vancrum, Melissa",Hanson Bridgett Llp,415-282-3380,1231 Douglass St.,,San Francisco,CA,94131,
Hines,"Dorsey, Matt",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
Group I,"Vettel, Steve",Farella Braun And Martel,(415) 394-7027,"500 Sansome Street, Ste 750",,San Francisco,CA,94111,
F&f Investors Llc,"Kevlin, John","Reuben, Junius & Rose, Llp",650-520-5251,868 Skyridge Drive,,Pacifica,CA,94044,
"Capstone Investment Advisors, Llc","Valentine, Duncan","Capstone Investment Advisors, Llc",6468399904,250 Greenwich Street,New York,New York,NY,10007,
Congregation Emanu-El,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 751-2535,2 LAKE STREET,,SAN FRANCISCO,CA,94118,
Congregation Emanu-El,"Clemens, Alexander",Lighthouse Public Affairs,(415) 751-2535,2 LAKE STREET,,SAN FRANCISCO,CA,94118,
Accela,"Anderson, Darius",Platinum Advisors,925-659-3200,"2633 CAMINO RAMON, SUITE 500",,SAN RAMON,CA,94583,
Dropbox,"Johnston, Karin",Hms Associates,202-627-6885,"1001 G Street, NW",,Washington,DC,20001,
Winton Capital Us Llc,"Smith, Nicholas",Winton Capital Us Llc,917-322-3606,375 Park Avenue,,New York,NY,10152,
Hampton Creek,"Junius, Andrew","Reuben, Junius & Rose, Llp",415-852-1121,2000 Folsom St.,,San Francisco,CA,94110,
Berkeley Patients Group,"Colbruno, Michael",Milo Group Of California,(510) 540-6013,1440 4th St # D,,Berkeley,CA,94710,
Hbk Engineering,"Anderson, Darius",Platinum Advisors,312-432-0076,921 WEST VAN BUREN STREET #100,,CHICAGO,IL,60607,
Aecom,"Anderson, Darius",Platinum Advisors,415-796-8100,300 CALIFORNIA STREET #400,,SAN FRANCISCO,CA,94104,
Golden State Warriors,"Anderson, Darius",Platinum Advisors,510-986-2200,1011 BROADWAY,,OAKLAND,CA,94607,
Millienium Tower Home Owners Assoc.,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
"Tzk Broaway, Llc","Lopez, Marisol",Platinum Advisors,916-443-8891,"1215 K STREET, SUITE 1150",,SACRAMENTO,CA,95814,
Pacific Park Management,"Noyola, David G.",Noyola Piccini Group,(415) 434-4400,"465 CALIFORNIA STREET, SUITE 473",,SAN FRANCISCO,CA,94104,
"Ticd, Llc","Lopez, Marisol",Platinum Advisors,4159551770,1 SANSOME STREET,,SAN FRANCISCO,CA,94104,
New Seasons Market Llc,"Reuben, James","Reuben, Junius & Rose, Llp",503-528-2888,"1300 SE Stark St., Ste. 401",,Portland,OR,97214,
Hines,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
Related California,"Noyola, David G.",Noyola Piccini Group,4156779000,"44 MONTGOMERY STREET, SUITE 1050",,SAN FRANCISCO,CA,94104,
Congregation Emanu-El,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 751-2535,2 LAKE STREET,,SAN FRANCISCO,CA,94118,
Village Properties,"Silverman, David","Reuben, Junius & Rose, Llp",415-567-9000,"940 Emmett Ave., Ste. 200",,Belmont,CA,94002,
"Pnb Noriega, Llc","Vancrum, Melissa",Hanson Bridgett Llp,415-928-3300,"4000 Montgomery Drive., Ste. 5",,Santa Rosa,CA,95405,
Pacific Park Management,"Piccini, Jacqueline",Noyola Piccini Group,(415) 434-4400,"465 CALIFORNIA STREET, SUITE 473",,SAN FRANCISCO,CA,94104,
Congregation Emanu-El,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 751-2535,2 LAKE STREET,,SAN FRANCISCO,CA,94118,
"Gap, Inc.","Johnston, Karin",Hms Associates,415-427-0774,2 Folsom Street,,San Francisco,CA,94105,
Millienium Tower Home Owners Assoc.,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
992 Peralta Group Llc,"Kevlin, John","Reuben, Junius & Rose, Llp",415-740-8563,1965 Market Street,,San Francisco,CA,94107,
Hines,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
"Cornerstone Concilium, Inc.","Vancrum, Melissa",Hanson Bridgett Llp,415-705-7800,"44 Montgomery St., Ste. 3360",,San Francisco,CA,94104,
Beverages & More,"Daniller-Katz, Gia",Daniller Consulting Inc.,925-609-6031,1401 Willow Pass Road Suite #900,,Concord,CA,94520,
"Henn, Etzel & Moore, Inc.","Cassolato, Stefano",Sgc Strategic Communications,510-893-6300,1970 Broadway #950,,Oakland,CA,94612,
Millienium Tower Home Owners Assoc.,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
Adjusters International,"Potashner, Eric",Platinum Advisors,650-583-4300,"400 OYSTER POINT BOULEVARD, #519",,SOUTH SAN FRANCISCO,CA,94080,
Tishman Speyer,"Gruwell, Chris",Platinum Advisors,415-536-1850,"ONE BUSH STREET, #450",,SAN FRANCISCO,CA,94104,
Luke Scalcione,"Vancrum, Melissa",Hanson Bridgett Llp,516-547-4997,565 24th Ave.,,San Francisco,CA,94121,
Dandelion Chocolate Real Estate Llc,"Loper, Mark","Reuben, Junius & Rose, Llp",415-242-1994,365 Pacheco St.,,San Francisco,CA,94116,
